vincristine,mitoxantrone,mean_cell_viability,median_cell_viability,min_cell_viability,max_cell_viability,n_observations
0.0,0.0,0.87375,0.89,0.77,1.0,16
0.0,5.0,0.84875,0.85,0.75,0.91,16
0.0,10.0,0.861875,0.88,0.76,0.94,16
0.0,40.0,0.84,0.83,0.73,1.01,16
6.25,0.0,0.82875,0.835,0.7,0.92,16
6.25,5.0,0.793125,0.81,0.56,0.98,16
6.25,10.0,0.785625,0.78,0.63,0.88,16
6.25,40.0,0.815,0.805,0.68,0.96,16
12.5,0.0,0.7775,0.82,0.63,0.91,16
12.5,5.0,0.78,0.795,0.56,0.91,16
12.5,10.0,0.794375,0.8,0.6,0.97,16
12.5,40.0,0.770625,0.775,0.65,0.96,16
50.0,0.0,0.68,0.705,0.54,0.79,16
50.0,5.0,0.678125,0.68,0.46,0.83,16
50.0,10.0,0.560625,0.57,0.42,0.68,16
50.0,40.0,0.575625,0.56,0.47,0.7,16
